,establishment_id,Preds,establishment_name,latitude_x,longitude_x,label
79,10426520,0,pizza hut,43.7142821109,-79.5686732092,Pass
80,10564726,1,krispy kreme doughnuts,43.655879999999996,-79.399315,Infraction
81,9012975,0,river tai,43.66295,-79.40306,Pass
82,10455937,1,green curry,43.64460800000001,-79.38601,Infraction
83,10473541,0,gourmeats,43.6656265921,-79.4676856576,Pass
84,10400510,1,no one writes to the colonel,43.656353,-79.40831999999997,Infraction
85,10386366,1,malaparte,43.646667,-79.38991999999998,Infraction
86,10356863,1,pizzeria defina,43.648716,-79.44985,Infraction
87,10358588,1,quinns/shopsy's,43.65099,-79.38291,Infraction
88,9006460,1,green leafs,43.64873,-79.38376,Infraction
89,10498297,1,eggspectation,43.6537587238,-79.3820503462,Infraction
90,10489197,1,wonton chai noodle,43.7878870447,-79.2698773436,Infraction
91,10454015,1,aziza,43.653598780299994,-79.4273958716,Infraction
92,9046405,0,future bakery,43.621482801999996,-79.5475853672,Pass
93,10543341,1,curry kitchen,43.656528,-79.376599,Infraction
94,10554960,0,tim hortons,43.658287,-79.3999,Pass
95,10458270,1,fusia asian kitchen,43.6562210316,-79.3833010622,Infraction
96,9396252,0,wei's taiwanese food inc.,43.789833,-79.30203,Pass
97,10492745,1,papa john's,43.650974,-79.44001,Infraction
98,10554377,1,sushi sky japanese restaurant,43.6624362588,-79.3839175268,Infraction
99,10347271,1,ritz caribbean food,43.653786198999995,-79.3794983769,Infraction
100,10541046,0,the county general,43.659694734,-79.3468927052,Pass
101,10451340,1,chiu chow boy,43.8173951023,-79.3039911091,Infraction
102,9023260,1,druxy's famous deli,43.653706,-79.40606,Infraction
103,10594840,1,coffee island,43.66413332,-79.3866477012,Infraction
104,10438053,1,sakura garden,43.7335468536,-79.41920064840001,Infraction
105,10266224,0,subway,43.6588837965,-79.3490433287,Pass
106,10577761,1,cheese garden,43.7728179532,-79.4134377172,Infraction
107,10447569,1,pizzaville,43.705785799999994,-79.3616593,Infraction
108,10536861,1,new town family restaurant,43.6729906808,-79.319499791,Infraction
109,10476510,0,menchie's,43.8092293409,-79.2693152889,Pass
